text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @blanchettcom: First <U+2018>Ocean<U+2019>s 8 Trailer Teaser + Contest Infos
More: https://t.co/ONdDaylCiM
#CateBlanchett #SandraBullock #Rihanna #Sar<U+2026>",FALSE,0,NA,2017/12/18 18:21,FALSE,NA,9.42822E+17,NA,Twitter for Android,PaulinDorinaD,9,TRUE,FALSE,NA,NA
"MOOD.
.
#HarlemShake #Lemon #Rihanna #NERD #pharrell #Dance #Dancers #MaleDancers #Adidas<U+2026> https://t.co/vzVOviT8ne",FALSE,0,NA,2017/12/18 18:21,FALSE,NA,9.42822E+17,NA,Instagram,ImCHRiSWatson,0,FALSE,FALSE,-118.243,34.0522
#Rihanna at Crop Over Festival 2017 (Pt. https://t.co/lzZa8kMVQB #badgalriririhannanavyriri #barbados #cropover2017 #cropover2017festival,FALSE,0,NA,2017/12/18 18:08,FALSE,NA,9.42819E+17,NA,Tweet Old Post,247PAPSTV,0,FALSE,FALSE,NA,NA
#Rihanna Hits a #NYC Street Fair https://t.co/XaBgFcFCDL #badgalriririhannanavyriri #manoloblahnikcollabboots,FALSE,0,NA,2017/12/18 18:08,FALSE,NA,9.42819E+17,NA,Tweet Old Post,247PAPSTV,0,FALSE,FALSE,NA,NA
#Rihanna Shoots for Paper Magazine (Pt. 2) https://t.co/8ODHs9OMux #badgalriririhannanavyriri #nyc #papermagazine #photoshoot,FALSE,0,NA,2017/12/18 18:08,FALSE,NA,9.42819E+17,NA,Tweet Old Post,247PAPSTV,0,FALSE,FALSE,NA,NA
"Das erste Filmposter zu #Oceans8 mit #AnneHathaway, #CateBlanchett, #SandraBullock und #Rihanna! https://t.co/eq2S5SBhnL",FALSE,1,NA,2017/12/18 18:06,FALSE,NA,9.42818E+17,NA,Twitter Web Client,filmmagde,1,FALSE,FALSE,NA,NA
#Ocean<U+00B4>s8 #SandraBullock #Rihanna #felizlunes https://t.co/vBtthCIUWN https://t.co/9MpLcCPknP,FALSE,0,NA,2017/12/18 18:05,FALSE,NA,9.42818E+17,NA,WordPress.com,liverarte,0,FALSE,FALSE,NA,NA
"RT @blanchettcom: First <U+2018>Ocean<U+2019>s 8 Trailer Teaser + Contest Infos
More: https://t.co/ONdDaylCiM
#CateBlanchett #SandraBullock #Rihanna #Sar<U+2026>",FALSE,0,NA,2017/12/18 18:04,FALSE,NA,9.42818E+17,NA,Twitter Web Client,bars_tatiana,9,TRUE,FALSE,NA,NA
"RT @blanchettcom: First <U+2018>Ocean<U+2019>s 8 Trailer Teaser + Contest Infos
More: https://t.co/ONdDaylCiM
#CateBlanchett #SandraBullock #Rihanna #Sar<U+2026>",FALSE,0,NA,2017/12/18 18:04,FALSE,NA,9.42818E+17,NA,Twitter for Android,Mavkalisova2,9,TRUE,FALSE,NA,NA
"song by justin bieber, The wildest colts make the best horses., https://t.co/iYdZ978tBj #1d #rihanna #bieber #adele #song",FALSE,1,NA,2017/12/18 18:00,FALSE,NA,9.42817E+17,NA,twittbot.net,MP3SongMusic,0,FALSE,FALSE,NA,NA
