text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @julie_logue: Starting our 15 hr road trip listening to every single @taylorswift13 album in order. #staybeautiful #taylorswift,FALSE,0,NA,2017/12/18 19:39,FALSE,NA,9.42842E+17,NA,xvlog application,xvlOG,2,TRUE,FALSE,NA,NA
RT @MikeAdamOnAir: #Reputation has already gone THREE TIMES PLATINUM!!! Haters shouldn't even be allowed to put '#TaylorSwift' and 'flop' i<U+2026>,FALSE,0,NA,2017/12/18 19:38,FALSE,NA,9.42841E+17,NA,Twitter for iPhone,missmitchelll,150,TRUE,FALSE,NA,NA
Starting our 15 hr road trip listening to every single @taylorswift13 album in order. #staybeautiful #taylorswift,FALSE,1,NA,2017/12/18 19:37,FALSE,NA,9.42841E+17,NA,Twitter for iPhone,julie_logue,2,FALSE,FALSE,NA,NA
"I  want to be your friend to the very very end,Suzanne,track no.10 by Shockblast
#JustinBieber #suzanne #suzy<U+2026> https://t.co/LiP8zRCCFU",FALSE,0,NA,2017/12/18 19:33,TRUE,NA,9.4284E+17,NA,Twitter Web Client,SHOCKBLASTBAND,1,FALSE,FALSE,NA,NA
RT @TaylorSPolls: Which pic?! #TaylorSwiftNOW #taylorswift #reputation #reputationStadiumTour,FALSE,0,NA,2017/12/18 19:32,FALSE,NA,9.4284E+17,NA,Twitter for Android,andreyrainlove,1,TRUE,FALSE,NA,NA
RT @TaylorSPolls: Which picture of Taylor with a camera? Vote below! #TaylorSwiftNOW #TaylorSwift #Swifties #camera #TheSwiftLife https://t<U+2026>,FALSE,0,NA,2017/12/18 19:32,FALSE,NA,9.4284E+17,NA,Twitter for Android,andreyrainlove,1,TRUE,FALSE,NA,NA
RT @farangsuoy: #SelenaGomez <U+0E25><U+0E48><U+0E32><U+0E2A><U+0E38><U+0E14><U+0E43><U+0E2B><U+0E49><U+0E2A><U+0E31><U+0E21><U+0E20><U+0E32><U+0E29><U+0E13><U+0E4C><U+0E17><U+0E32><U+0E07><U+0E27><U+0E34><U+0E17><U+0E22><U+0E38><U+0E21><U+0E35><U+0E1E><U+0E39><U+0E14><U+0E16><U+0E36><U+0E07> #TaylorSwift <U+0E27><U+0E48><U+0E32><U+0E40><U+0E1B><U+0E47><U+0E19><U+0E40><U+0E1E><U+0E37><U+0E48><U+0E2D><U+0E19><U+0E01><U+0E31><U+0E19><U+0E21><U+0E32><U+0E1B><U+0E23><U+0E30><U+0E21><U+0E32><U+0E13> 12 <U+0E1B><U+0E35> <U+0E14><U+0E35><U+0E40><U+0E08><U+0E40><U+0E25><U+0E22><U+0E16><U+0E32><U+0E21><U+0E27><U+0E48><U+0E32><U+0E40><U+0E08><U+0E2D><U+0E01><U+0E31><U+0E19><U+0E44><U+0E14><U+0E49><U+0E22><U+0E31><U+0E07><U+0E44><U+0E07> <U+0E04><U+0E33><U+0E15><U+0E2D><U+2026>,FALSE,0,NA,2017/12/18 19:29,FALSE,NA,9.42839E+17,NA,Twitter for Android,sngnatt,6633,TRUE,FALSE,NA,NA
"""Don't read the last page but I stay..."" #Reputation #Drawing #workinprogress #TaylorSwift @taylorswift13<U+2026> https://t.co/fJ60rYMQGG",FALSE,0,NA,2017/12/18 19:28,TRUE,NA,9.42839E+17,NA,Twitter for Android,chiaraserena98,0,FALSE,FALSE,NA,NA
#TaylorSwift <ed><U+00A0><U+00BD><ed><U+00B6><U+00A4> #DakotaJohnson <ed><U+00A0><U+00BD><ed><U+00B6><U+00A4> https://t.co/wUSJJtUzcW,FALSE,1,NA,2017/12/18 19:28,FALSE,NA,9.42839E+17,NA,Twitter for iPhone,dakota_taylor89,0,FALSE,FALSE,NA,NA
"RT @ItsEmaan_: Credit to the honor <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>
 Lil #TaylorSwift https://t.co/Pdo9ILcV6B",FALSE,0,NA,2017/12/18 19:27,FALSE,NA,9.42839E+17,NA,Twitter for iPhone,shamma_pari,13,TRUE,FALSE,NA,NA
"#TaylorSwift's new app is getting political and problematic. 

https://t.co/SnGCD6FRDa https://t.co/YsgH79PxQB",FALSE,0,NA,2017/12/18 19:26,FALSE,NA,9.42838E+17,NA,TweetDeck,CollegeCandy,0,FALSE,FALSE,NA,NA
#taylorswift #swiftmas #christmas #newyear #giveaway #2018 @taylorswift13 @taylornation13,FALSE,0,swiftsmidnights,2017/12/18 19:25,FALSE,9.42838E+17,9.42838E+17,8.79564E+17,Twitter for iPhone,swiftsmidnights,0,FALSE,FALSE,NA,NA
"So much in this week's #civictech research roundup. #evidence on watchers, #TaylorSwift usual suspects, self-regulatin<U+2026>",FALSE,0,NA,2017/12/18 19:23,FALSE,NA,9.42838E+17,NA,SamReadWriteBot,t_s_institute,0,FALSE,FALSE,NA,NA
"RT @ItsEmaan_: Credit to the honor <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>
 Lil #TaylorSwift https://t.co/Pdo9ILcV6B",FALSE,0,NA,2017/12/18 19:22,FALSE,NA,9.42838E+17,NA,Twitter for Android,the_artm,13,TRUE,FALSE,NA,NA
This is why we can<U+2019>t have nice things honey.... #taylorswift  #reputation  #makeawish #brazil<U+2026> https://t.co/5N5MLiz8Yv,FALSE,1,NA,2017/12/18 19:21,FALSE,NA,9.42837E+17,NA,Instagram,BRepties,0,FALSE,FALSE,NA,NA
"_lauren_vargas is the best! <ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+009C>
#EarlyBirthday #EarlyChristmas #Friendship #TaylorSwift<U+2026> https://t.co/s7bKFxnw4l",FALSE,0,NA,2017/12/18 19:20,FALSE,NA,9.42837E+17,NA,Instagram,altered_alice,0,FALSE,FALSE,NA,NA
"RT @feelflawlessuk: Follow us, RT, &amp; comment for your chance to #win a 5ml Wonderstruck By #TaylorSwift Eau De Parfum! #giveaway #beauty #f<U+2026>",FALSE,0,NA,2017/12/18 19:19,FALSE,NA,9.42837E+17,NA,Twitter for iPad,enyastockton,529,TRUE,FALSE,NA,NA
@WILDFOXCOUTURE #LovePotionNo9 #AlessandraAmbrosio #Beyonc<U+00E9> #TaylorSwift #CrewneckSweater #cozysweater #softangora<U+2026> https://t.co/6H46dexGOn,FALSE,0,WILDFOXCOUTURE,2017/12/18 19:19,TRUE,NA,9.42837E+17,26168869,Twitter Web Client,NicFashionMaps,0,FALSE,FALSE,NA,NA
